expression,step_by_step_result
"ln(x^3) + ln(y^2) - ln(x^3 * y^2)","perfecto: llega a 0 en 3 steps claros; primero extrae los exponentes de los dos logs externos y luego usa un step final didáctico que expande ln(x^3·y^2), vuelve a extraer los exponentes necesarios y cancela los términos iguales."
"1 + 1/(1 + 1/(1 + 1/x)) - (3*x + 2)/(2*x + 1)","perfecto: la cadena sigue siendo legible y ahora el paso de fracción anidada explica exactamente los dos movimientos relevantes: llevar a denominador común dentro del denominador e invertir la fracción resultante."
"tan(x) + cot(x) - sec(x)*csc(x)","bueno: la narrativa completa existe y no hay ciclos, aunque la cola sec/csc añade algo de rodeo antes de cerrar en 0."
"1/(x - 1) - 1/(x + 1) - 2/(x^2 - 1)","perfecto: la traza es corta y fiel, y ahora el primer step enseña explícitamente llevar a denominador común y simplificar el numerador antes de cerrar con la resta de expresiones iguales."
"1/(sqrt(a) + sqrt(b)) - (sqrt(a) - sqrt(b))/(a - b)","perfecto: racionaliza, explica conjugado y diferencia de cuadrados, y cierra limpiamente en una resta de iguales."
"ln(x^2 - y^2) - ln(x - y) - ln(x + y)","bueno: ahora la traza mantiene el contexto completo de logaritmos; sigue siendo una ruta algo indirecta porque primero contrae, luego cancela dentro del log y después vuelve a contraer hasta 0."
"sin(x)^2 - (1 - cos(2*x))/2","perfecto: llega a 0 con 4 steps limpios y ahora el primero enseña explícitamente la expansión cos(2u)=2·cos(u)^2-1, en vez de filtrar la regla interna genérica de angle consistency."
"cosh(x) + sinh(x) - e^x","perfecto: ahora colapsa directamente a e^x y cierra en una resta de expresiones iguales, sin el no-op Convert exp to Power."
"(sin(x) + cos(x))^2 - (1 + sin(2*x))","perfecto: ahora reconoce directamente la identidad del cuadrado trigonométrico, evita la oscilación y cierra en un único step con substeps claros de binomio, pitagórica y ángulo doble."
"2*cos(2*x)*sin(x) - (4*cos(x)^2*sin(x) - 2*sin(x))","bueno: cadena corta y correcta hasta una resta de iguales; podría comprimir mejor la expansión distributiva intermedia."
"2*sin(2*x)*sin(x) - (4*cos(x) - 4*cos(x)^3)","perfecto: ya no oscila ni emite warning; ahora cierra en 2 steps didácticos, primero reescribe el lado cúbico y luego explica producto a suma, ángulo triple, pitagórica y cancelación."
"sin(x) + sin(y) - 2*sin((x+y)/2)*cos((x-y)/2)",perfecto
"cos(x) - cos(y) + 2*sin((x+y)/2)*sin((x-y)/2)",perfecto
"3*sin(x) + 4*cos(x) - 5*sin(x + arctan(4/3))","perfecto: ahora simplifica a 0 en un único step de identidad de desfase, con substeps de reescritura de la combinación lineal y cancelación exacta."
"2*sinh(2*x)*sinh(x) - (4*cosh(x)^3 - 4*cosh(x))","perfecto: ahora cierra a 0 en 2 steps didácticos claros; primero expande sinh(2x) y luego usa la identidad pitagórica hiperbólica con substeps de factor común, reescritura y cancelación."
"sinh(x+y) - (sinh(x)*cosh(y) + cosh(x)*sinh(y))",perfecto
"(a^3-b^3)/(a-b) - (a^2 + a*b + b^2)","perfecto: ahora mantiene el único step visible, pero lo acompaña con substeps útiles de factorizar a^3-b^3 y cancelar el factor común del numerador y el denominador."
"sqrt(a^2 + 2*a*b + b^2) - abs(a+b)","perfecto: reconoce el cuadrado perfecto, usa valor absoluto y cierra con una resta de iguales."
"ln((x*y)^2) - ln(x^2) - ln(y^2)","bueno: ahora llega a 0; primero saca las potencias fuera del logaritmo y luego cierra con un step final didáctico de expansión y cancelación. Sigue siendo algo largo por repetir tres extracciones de exponentes."
"2*ln(abs(x*y)) - 2*ln(abs(x)) - 2*ln(abs(y))","perfecto: ahora cierra en un único step coherente que explica la expansión del logaritmo y la cancelación de los términos iguales."
"tan(x)*cot(x) - 1","bueno: llega a 0 con una cadena comprensible, aunque la cancelación de factores intermedia podría enseñarse mejor."
"sec(x)^2 - tan(x)^2 - 1","bueno: identidad clara y corta; sería perfecto con un poco más de didáctica en la conversión sec -> 1/cos."
"cosh(x)^2 - sinh(x)^2 - 1","perfecto: identidad hiperbólica directa y cierre limpio."
"2*cos(x)*cos(y) - cos(x+y) - cos(x-y)","bueno: demuestra la identidad, pero con una ruta algo larga y algebraicamente pesada."
"2*sin(x)*cos(y) - sin(x+y) - sin(x-y)","bueno: llega a 0 sin ciclos y el cierre por identidad exacta es legible, aunque la ruta previa es algo verbosa."
"2*sin(x)*sin(y) - cos(x-y) + cos(x+y)","bueno: correcto y sin loops, pero la parte central de paridad y factor común es más larga de lo ideal."
"exp(x) + exp(-x) - 2*cosh(x)","perfecto: ahora reconoce directamente 2*cosh(x) desde la suma exponencial y cierra en una resta de expresiones iguales."
"exp(x) - exp(-x) - 2*sinh(x)","perfecto: ahora reconoce directamente 2*sinh(x) desde la diferencia exponencial y cierra en una resta de expresiones iguales."
"1/(u*(u+1)) - 1/u + 1/(u+1)","bueno: secuencia razonable de suma y cancelación telescópica; el step 2 comprime bastante la manipulación clave."
"(1/x + 1/y)/(1/x - 1/y) - (x+y)/(y-x)","bueno: la fracción anidada se explica aceptablemente y cierra bien; aún podría narrar mejor el denominador común."
"(n+1)!/(n-1)! - n*(n+1)","perfecto: expande el factorial, cancela el común y cierra limpio."
"sqrt(x^5) - x^2*sqrt(x)","perfecto: ahora enseña la extracción de la potencia par fuera de la raíz con substeps claros y luego cierra en una resta de iguales."
"sqrt(x^7) - x^3*sqrt(x)","perfecto: mismo patrón bien resuelto; separa x^7 como x^6·x, extrae x^3 y solo después cancela a 0."
"x^6 - 1 - (x-1)*(x^5+x^4+x^3+x^2+x+1)","perfecto: ahora explica la factorización geométrica a^n-1 y particulariza con a = x, n = 6 antes de anular la identidad."
"x^4 + 4*y^4 - (x^2-2*x*y+2*y^2)*(x^2+2*x*y+2*y^2)","perfecto: ahora muestra explícitamente la identidad de Sophie Germain y la sustitución a = x, b = y."
"x^2 + 2*x + 1 - (x+1)^2","perfecto: ahora explica la identidad de cuadrado perfecto a^2+2ab+b^2=(a+b)^2 y la sustitución a = x, b = 1."
"x*y + x*z - x*(y+z)","perfecto: ahora enseña el uso del factor común y explicita que el factor compartido es x."
"(a+b+c)/x - a/x - b/x - c/x","bueno: la cadena de cancelación a 0 es limpia y estable, aunque no explicita la distribución del denominador como substep."
"a + b/x - (a*x+b)/x","bueno: muy corto y fiel, pero el orden canónico b/x + a empeora un poco la lectura."
"(x^2 - 1)/(x - 1) - (x+1)","perfecto: factoriza, cancela y cierra con una traza breve y didáctica."
